Processing tier1 - 2026-02-10T23:01:16.891122
======================================================================

[SUCCESS] video-7sk3qmIQZnI -> 2026-02-10-the-125-billion-secret-amazon-told-wall-street-one-thing-and-employees-another-heres-the-truth.md
[SUCCESS] video-p9acrso71KU -> 2026-01-30-clawdbot-to-moltbot-to-openclaw-the-72-hours-that-broke-everything-the-full-breakdown.md
[SUCCESS] video-h7dbkDcb3hA -> 2026-02-10-task-queues-are-replacing-chat-interfaces-heres-why-plus-a-claude-cowork-demo.md
[SUCCESS] video-dZxyeYBxPBA -> 2026-02-10-openai-is-slowing-hiring-anthropics-engineers-stopped-writing-code-heres-why-you-should-care.md
[SUCCESS] video-NP-qmffUNHQ -> 2026-02-10-the-dirty-secret-behind-amazons-30000-cuts-nvidia.md
[SUCCESS] video-0TpON5T-Sw4 -> 2026-02-10-why-2026-is-the-year-to-build-a-second-brain-and-why-you-need-one.md
[SUCCESS] video-f-v0fJgBqhk -> 2026-02-10-i-built-an-11-tab-financial-model-in-10-minutes-the-20month-tool-thats-about-change-how-we-work.md
[SUCCESS] video-EZ4EjJ0iDDQ -> 2026-02-10-why-your-best-employees-quit-using-ai-after-3-weeks-and-the-6-skills-that-would-have-saved-them.md
[SUCCESS] video-BRXGDCBSARY -> 2026-02-10-the-nvidia-groq-deal-is-way-bigger-than-reported-3-things-the-headlines-missed.md
[SUCCESS] video-xZX4KHrqwhM -> 2026-02-10-karpathy-vs-mckinsey-the-truth-about-ai-agents-software-30.md
[SUCCESS] video-F-m4AIU8blY -> 2026-02-10-gemini-3-just-triggered-the-biggest-ai-reset-since-2022.md
[SUCCESS] video-0teZqotpqT8 -> 2026-02-10-stop-competing-with-400-applicants-build-this-in-one-weekend-yes-theres-a-no-code-option-too.md
[SUCCESS] video-xNcEgqzlPqs -> 2026-02-10-ai-agents-that-actually-work-the-pattern-anthropic-just-revealed.md
[SUCCESS] video-p63MKDEsuFc -> 2026-02-10-most-of-us-are-using-ai-backwardsheres-why.md
[SUCCESS] video-8psoB8EFdc8 -> 2026-02-10-make-500-5kmo-with-chatgptsteal-my-side-gig-system-and-build-your-hustle-with-ai.md
[SUCCESS] video-hpDC29JdgjI -> 2026-02-10-this-is-why-youre-still-slow-even-with-ai-the-bottleneck-moved-heres-what-to-do-about-it.md
[SUCCESS] video-q6p-_W6_VoM -> 2026-02-10-going-slower-feels-safer-but-your-domain-expertise-wont-save-you-anymore-heres-what-will.md
[SUCCESS] video-sLz4mAyykeE -> 2026-02-10-90-of-people-fail-at-vibe-coding-heres-the-actual-reason-youre-skipping-the-hard-part.md
[SUCCESS] video-TTMOSR-nKjg -> 2026-02-10-openai-google-and-anthropic-agree-on-one-thing-finally-this-weeks-biggest-ai-stories.md
[SUCCESS] video-7Kc9BNEe2mk -> 2024-11-13-inside-anthropics-detection-of-an-ai-run-cyberattack-on-30-high-value-global-targets.md
[SUCCESS] video-kuGg0b2IrHQ -> 2025-01-31-meta-up-10-microsoft-down-10-tesla-killing-cars-this-week-broke-something.md
[SUCCESS] video-5Kp-Gj5qXL0 -> 2026-02-10-nvidia-told-us-exactly-where-ai-is-going-and-almost-everyone-heard-it-wrong.md
